Williamson ARH Hospital ,"2,441",27.30%,"5,557",62.20%,592,6.60%,350,3.90%,"8,940"
Hazard ARH Regional Medical Center ,"30,895",39.30%,"41,849",53.20%,"4,052",5.20%,"1,922",2.40%,"78,718"
Kentucky River Medical Center ,"2,434",45.10%,"2,498",46.30%,405,7.50%,64,1.20%,"5,401"
Mary Breckinridge ARH Hospital ,249,27.10%,586,63.80%,22,2.40%,62,6.80%,919
Whitesburg ARH Hospital ,"4,437",30.10%,"8,293",56.30%,"1,386",9.40%,627,4.30%,"14,743"
Baptist Regional Medical Center ,"17,723",38.80%,"22,481",49.20%,"4,656",10.20%,869,1.90%,"45,729"
ContinueCARE Hospital at Baptist Health Corbin ,"1,952",19.70%,"7,461",75.20%,431,4.30%,80,0.80%,"9,924"
Harlan ARH Hospital ,"8,142",41.50%,"9,639",49.10%,"1,234",6.30%,619,3.20%,"19,634"
Knox County Hospital ,916,19.60%,"3,286",70.30%,425,9.10%,47,1.00%,"4,674"
Memorial Hospital Inc ,"2,728",34.70%,"4,326",55.10%,488,6.20%,312,4.00%,"7,854"
Middlesboro ARH Hospital ,"2,556",30.30%,"5,180",61.50%,529,6.30%,161,1.90%,"8,426"
Pineville Community Hospital ,"1,362",19.70%,"4,730",68.40%,744,10.80%,79,1.10%,"6,915"
Rockcastle Regional Hospital & Respiratory Care Center ,396,12.20%,"2,565",79.10%,228,7.00%,53,1.60%,"3,242"
Saint Joseph Hospital London ,"6,807",30.90%,"11,212",50.80%,"3,304",15.00%,744,3.40%,"22,067"
Casey County Hospital ,283,13.30%,"1,694",79.30%,131,6.10%,27,1.30%,"2,135"
Clinton County Hospital ,462,15.20%,"2,166",71.40%,395,13.00%,11,0.40%,"3,034"
Cumberland County Hospital ,577,18.80%,"2,055",66.80%,395,12.90%,48,1.60%,"3,075"
Jane Todd Crawford Hospital ,213,12.50%,"1,398",82.20%,85,5.00%,5,0.30%,"1,701"
Lake Cumberland Regional Hospital ,"14,838",28.60%,"30,794",59.30%,"5,246",10.10%,"1,063",2.10%,"51,941"
Russell County Hospital ,483,26.10%,"1,214",65.70%,121,6.50%,31,1.70%,"1,849"
Taylor Regional Hospital ,"2,582",23.50%,"6,698",61.00%,"1,457",13.30%,250,2.30%,"10,987"
Wayne County Hospital Inc ,263,14.30%,"1,260",68.60%,278,15.10%,35,1.90%,"1,836"
Westlake Regional Hospital ,211,11.90%,"1,261",71.20%,287,16.20%,13,0.70%,"1,772"
Baptist Health Richmond ,"3,847",31.80%,"6,294",52.10%,"1,715",14.20%,230,1.90%,"12,086"
Bluegrass Community Hospital ,203,26.00%,490,62.80%,69,8.90%,18,2.30%,780
Bourbon Community Hospital ,"7,722",67.60%,"2,443",21.40%,"1,152",10.10%,99,0.90%,"11,416"
Cardinal Hill Rehabilitation Hospital ,"7,616",20.70%,"20,090",54.50%,"7,343",19.90%,"1,840",5.00%,"36,889"
Central Baptist Hospital ,"17,652",19.10%,"30,833",33.30%,"42,261",45.70%,"1,829",2.00%,"92,575"
Clark Regional Medical Center ,"3,589",37.00%,"4,360",44.90%,"1,441",14.90%,311,3.20%,"9,701"
Continuing Care Hospital ,"3,243",22.90%,"6,512",46.00%,"4,326",30.60%,75,0.50%,"14,156"
Ephraim McDowell Fort Logan Hospital ,"1,270",53.50%,457,19.30%,528,22.20%,119,5.00%,"2,374"
Ephraim McDowell Reg Medical Center ,"6,820",20.30%,"18,066",53.70%,"8,100",24.10%,689,2.10%,"33,675"
Frankfort Regional Medical Center ,"5,407",21.70%,"13,790",55.30%,"4,482",18.00%,"1,263",5.10%,"24,942"
Georgetown Community Hospital ,"2,010",30.00%,"3,389",50.60%,"1,129",16.90%,169,2.50%,"6,697"
Harrison Memorial Hospital ,"1,396",27.00%,"2,702",52.20%,997,19.30%,77,1.50%,"5,172"
Marcum and Wallace Memorial Hospital ,553,11.00%,"3,783",75.40%,643,12.80%,36,0.70%,"5,015"
Ridge Behavioral Health System ,"9,783",41.00%,"7,729",32.40%,"5,719",24.00%,622,2.60%,"23,853"
Saint Joseph Berea ,607,13.80%,"3,114",71.00%,598,13.60%,69,1.60%,"4,388"
Saint Joseph East ,"14,771",34.50%,"9,358",21.90%,"17,430",40.70%,"1,270",3.00%,"42,829"
Saint Joseph Hospital ,"10,243",14.90%,"32,078",46.50%,"25,779",37.40%,848,1.20%,"68,948"
Select Specialty Hospital Lexington ,879,7.40%,"8,574",72.20%,"1,972",16.60%,450,3.80%,"11,875"
Shriners Hosp for Children ,476,65.00%,,0.00%,248,33.90%,8,1.10%,732
The James B Haggin Memorial Hospital ,149,10.50%,"1,036",73.20%,217,15.30%,14,1.00%,"1,416"
UK HealthCare Good Samaritan Hospital ,"18,306",41.00%,"17,868",40.00%,"7,207",16.10%,"1,262",2.80%,"44,643"
University of Kentucky Hospital ,"85,074",39.70%,"75,239",35.10%,"48,049",22.40%,"6,126",2.90%,"214,488"
